_step,critic/rewards_onpolicy/mean,actor/entropy_loss,diag/teacher_token_ratio,diag/exp_token_ratio,diag/reward_onpolicy_mean,diag/reward_teacher_mean,diag/entropy_onpolicy_token_mean,diag/entropy_teacher_token_mean,diag/group_teacher_minus_on_reward_mean,diag/adv_onpolicy_token_mean,diag/adv_teacher_token_mean,diag/onpolicy_adv_pos_ratio,diag/teacher_adv_pos_ratio,actor/off_pg_loss,actor/on_pg_loss
44,0.4464285671710968,0.13217754662036896,0.009471015073359013,0.009471015073359013,0.4464285671710968,1,0.13014832139015198,0.3444031774997711,0.5535714285714285,-0.04671306908130646,1.0400928258895874,0.4464285671710968,1.0,-0.2623802162706852,0.20023013278841972
45,0.5535714030265808,0.14527831971645355,0.010896614752709866,0.010896614752709866,0.5535714030265808,1,0.14197732508182526,0.4449164569377899,0.44642857142857145,-0.04160723090171814,0.7656541466712952,0.5535714030265808,1.0,-0.040176400914788246,0.23654200322926044
46,0.4285714328289032,0.12546993792057037,0.008111722767353058,0.008111722767353058,0.4285714328289032,1,0.12396850436925888,0.3090634346008301,0.5714285714285714,-0.050319381058216095,1.1521483659744263,0.4285714328289032,1.0,0.0,-0.11635650880634785
47,0.5892857313156128,0.11281704157590866,0.007880041375756264,0.007880041375756264,0.5892857313156128,1,0.1112632006406784,0.3084498941898346,0.4107142857142857,-0.035840969532728195,0.8431300520896912,0.3392857015132904,0.75,-0.04116859659552574,0.339519239962101
48,0.5535714030265808,0.12794248759746552,0.008668218739330769,0.008668218739330769,0.5535714030265808,1,0.12598071992397308,0.3522964417934418,0.4464285714285714,-0.04630131646990776,0.9668134450912476,0.4285714328289032,0.875,-0.09431704506278038,0.08521520160138607
49,0.4912280738353729,0.11335094273090363,0.00706087052822113,0.00706087052822113,0.4912280738353729,1,0.11129315942525864,0.40272805094718933,0.42857142857142855,-0.03096167743206024,1.0261309146881104,0.4912280738353729,1.0,-0.03068525716662407,0.08820859156548977
50,0.75,0.20848290622234344,0.015321829356253147,0.015321829356253147,0.75,1,0.20514023303985596,0.42330437898635864,0.25,-0.09970465302467346,0.5886356830596924,0.625,0.875,-0.020088201388716698,0.19469490833580494
51,0.6607142686843872,0.15132446587085724,0.0107010118663311,0.0107010118663311,0.6607142686843872,1,0.14897564053535461,0.3684711456298828,0.3392857142857143,-0.06071348115801811,0.6599841117858887,0.5357142686843872,0.875,0.0,0.07068047672510147
52,0.6071428656578064,0.12469971179962158,0.00968754943460226,0.00968754943460226,0.6071428656578064,1,0.12234435975551605,0.36547568440437317,0.39285714285714285,-0.03986687213182449,0.8280201554298401,0.4821428656578064,0.875,-0.020088203251361847,0.22476015612483025
53,0.5714285969734192,0.12470164895057678,0.013606439344584942,0.013606439344584942,0.5714285969734192,1,0.12061861902475357,0.42069917917251587,0.4285714285714286,-0.044673871248960495,1.1397343873977661,0.3214285671710968,0.75,-0.21385405585169792,0.1609621699899435
54,0.4285714328289032,0.13057708740234375,0.007178286090493202,0.007178286090493202,0.4285714328289032,1,0.12911561131477356,0.33271318674087524,0.5714285714285714,-0.04517912492156029,1.1222617626190186,0.4285714328289032,1.0,-0.2445038091391325,0.09687196090817451
55,0.5535714030265808,0.1149752289056778,0.010755510069429874,0.010755510069429874,0.5535714030265808,1,0.11183259636163712,0.404019832611084,0.4464285714285714,-0.023541269823908806,1.4619629383087158,0.1785714328289032,0.625,-0.19376585260033607,0.0779478270560503
56,0.6607142686843872,0.11406737565994263,0.011460035108029842,0.011460035108029842,0.6607142686843872,1,0.11022493988275528,0.4455147087574005,0.3392857142857143,-0.04047256335616112,0.6643258929252625,0.5357142686843872,0.875,-0.07185385935008526,0.3768812231719494
57,0.7321428656578064,0.1394159346818924,0.009848825633525848,0.009848825633525848,0.7321428656578064,1,0.13708484172821045,0.3737732470035553,0.2678571428571429,-0.055259205400943756,0.4919898509979248,0.4821428656578064,0.75,-0.10392189584672451,0.06775771826505661
58,0.5614035129547119,0.1313677728176117,0.005839231889694929,0.005839231889694929,0.5614035129547119,1,0.1300041228532791,0.3635360300540924,0.36734693877551017,-0.04617118835449219,0.6462514996528625,0.5614035129547119,1.0,-0.113022455945611,-0.019750038161873817
59,0.4464285671710968,0.09348669648170471,0.006652001291513443,0.006652001291513443,0.4464285671710968,1,0.09188740700483322,0.3323097825050354,0.5535714285714286,-0.03422647342085838,0.952950119972229,0.3214285671710968,0.875,-0.05314844101667404,-0.0016461461782455444
60,0.5438596606254578,0.13289543986320496,0.009341159835457802,0.009341159835457802,0.5438596606254578,1,0.13004370033740997,0.43533143401145935,0.42857142857142855,-0.04384274780750275,0.9133733510971069,0.5438596606254578,1.0,-0.09205576032400131,0.005535215139389038
61,0.3392857015132904,0.1225854754447937,0.01506668422371149,0.01506668422371149,0.3392857015132904,1,0.1173601970076561,0.46416932344436646,0.6607142857142858,-0.034787602722644806,1.525894045829773,0.2142857164144516,0.875,-0.25276137702167034,0.22793303057551384
62,0.4821428656578064,0.13559281826019287,0.015683697536587715,0.015683697536587715,0.4821428656578064,1,0.13018298149108887,0.47511643171310425,0.5178571428571428,-0.041055306792259216,1.032971978187561,0.4821428656578064,1.0,-0.05314844101667404,0.04445955157279968
63,0.6428571343421936,0.10379742085933685,0.00846222136169672,0.00846222136169672,0.6428571343421936,1,0.10159240663051605,0.3621646463871002,0.35714285714285715,-0.039392534643411636,0.8658974766731262,0.6428571343421936,1.0,-0.14282921701669693,0.06884914450347424
64,0.6785714030265808,0.12310753017663956,0.014560194686055183,0.014560194686055183,0.6785714030265808,1,0.11898460239171982,0.4021493196487427,0.3214285714285714,-0.04064788296818733,0.6025258302688599,0.4285714328289032,0.75,-0.05314844101667404,0.14915930107235909
65,0.5892857313156128,0.11171738058328629,0.009501006454229355,0.009501006454229355,0.5892857313156128,1,0.10912056267261505,0.3824436068534851,0.4107142857142857,-0.04106760770082474,0.8029845356941223,0.5892857313156128,1.0,-0.03068525530397892,0.07873467355966568
66,0.5178571343421936,0.10287217050790787,0.008888565935194492,0.008888565935194492,0.5178571343421936,1,0.10036160051822662,0.3828115165233612,0.4821428571428572,-0.03330620750784874,0.8310157060623169,0.3928571343421936,0.875,-0.08383369632065296,0.05654595419764519
67,0.4464285671710968,0.12035022675991058,0.013468286953866482,0.013468286953866482,0.4464285671710968,1,0.11642158031463623,0.40811774134635925,0.5535714285714286,-0.03632236272096634,1.173407793045044,0.4464285671710968,1.0,-0.06861434131860733,-0.013037389144301414
